ADJ	NN	context	final_attribute	final_semclass	Status
dumm	Argument	Ich bin es halt leid immer die selben dummen Argumente und Vorurteile zu entkräften zu versuchen .	Intelligenz	Kommunikation	free
dumm	Arschloch	Ich kann aber einen Menschen ganz grundsätzlich in seiner Menschlichkeit respektieren und ihn trotzdem für ein dummes Arschloch halten .	Intelligenz	Mensch	free
dumm	August	Meistens sind die Sympathien der Zuschauer eher beim warmherzigen , tölpelhaften dummen August als beim besserwisserischen Weißclown .	Intelligenz	Mensch	free
dumm	Ausrede	Und wenn Sie hier so einen Unfug posten machen sie sich mitschuldig , da Sie nach einer dummen Ausrede suchen .	Intelligenz	Kommunikation	free
dumm	Äußerung	Selbstverständlich gibt es wegen solche dummen Äußerungen ethnische Konflikte , die sogar zum Krieg führen können .	Intelligenz	Kommunikation	free
dumm	Bauer	Sofort eilte eine große Anzahl der Bürger herbei , auf die dummen Bauern schimpfend und sich gleichzeitig der Nüsse bemächtigend .	Intelligenz	Mensch	free
dumm	Behauptung	Lernen Sie bitte Geschichte und verbreiten Sie keine dummen Behauptungen .	Intelligenz	Kommunikation	free
dumm	Bemerkung	 Während Brandt aber [ ... ] immerhin noch halbwegs professionell auftritt , fällt Borowski vor allem durch Verständnis für Eggers , provozierende Fragen und dumme Bemerkungen auf . 	Intelligenz	Kommunikation	free
dumm	Blondchen	In der Schule erhielt sie im Gegensatz zu ihrem Leinwandimage als " dummes Blondchen " gute Noten .	Intelligenz	Mensch	free
dumm	Blondine	Sie übernahm den Künstlernamen Sabrina und wurde als " dumme Blondine " an der Seite von Askey schlagartig berühmt .	Intelligenz	Mensch	free
dumm	Bub	Gustl will seinen Säbel ziehen , wird aber durch seinen körperlich überlegenen Kontrahenten daran gehindert und als " dummer Bub " beschimpft .	Intelligenz	Mensch	free
dumm	Ding	Das dumme Ding hätte den Silvesterkracher nicht schlucken sollen ... Durch eine innere Explosion draufzugehen , das ist schon sehr sehr grausam ...	Intelligenz	Mensch	free
dumm	Eigentor	Köln mit diesem Thema zu vermischen ist ein sehr dummes Eigentor .	übertragen	übertragen	übertragen
dumm	Einfall	Fürwitz bringt den Helden durch dumme Einfälle in die Bredouille ; Unfall geht absichtsvoll vor , weil er die Ehre des Tapferen für sich haben will , und Neidhart bringt den Ritter aus Missgunst in allerlei Gefahr .	Intelligenz	Kognition	free
dumm	Fehler	Harrer nannte diese Beitritte später einen " dummen Fehler " und " ideologischen Irrtum " .	Bewertung	Kognition	collocation
dumm	Frage	Vielleicht etwas dumme Frage , aber kann ich statt all der gelisteten Endgeräte auch einfach über meinen PC streamen ?	Intelligenz	Kommunikation	free
dumm	Gedanke	Entsprechend kommt sie dabei immer wieder auf dumme Gedanken und ist eher eine Ablenkung als eine Hilfe .	Intelligenz	Kognition	free
dumm	Gefühl	Auch Walter Gasperi wurde " das dumme Gefühl nicht los , dass sich der Filmregisseur hier als Wahlhelfer für Hillary Clinton betätigen will " .	Bewertung	Gefuehl	collocation
dumm	Gelaber	Bei ruhigeren Konzerten ( zB Gregor Samsa ) hört ( e ) man dadurch mehr Flaschengeklirre und dummes Gelaber angetrunkener Idioten an der Bar als Musik !	Intelligenz	Kommunikation	free
dumm	Gerede	Das ist nur ein dummes Gerede , weil die Urspungsländer wissen , dass eben nicht ihre Creme de la Creme ausgereist ist .	Intelligenz	Kommunikation	free
dumm	Gerücht	Metalion wies diese Vorwürfe jedoch als dumme Gerüchte zurück .	Intelligenz	Kommunikation	free
dumm	Geschwätz	 Was gebe ich auf mein dummes Geschwätz von gestern !  wird seit mindestens 1917 dem preußischen Kulturpolitiker Friedrich Althoff ( 1839 - 1908 ) zugeschrieben .	Intelligenz	Kommunikation	free
dumm	Gesicht	Dann muß mir aber einer helfen , das ich Ihr dummes Gesicht auch aufnehmen kann wenn [ ... ]	Bewertung	Koerper	collocation
dumm	Gewäsch	Das ist doch alles dummes Gewäsch , basierend auf der Propaganda der FPÖ und gewisser Zeitungen .	Intelligenz	Kommunikation	free
dumm	Huhn	Erich von Holst hatte ihn aufgrund seiner Forschungen zu Hühnern ans MPI geholt . 1964 erschien sein Buch " Das dumme Huhn - Verhalten des Haushuhns " , in dem er seine 50-jährige Forschungsarbeit zur " Sprache " der Hühner niederlegte und das unter dem Titel " Lo stupido pollo ? " ins Italienische übersetzt wurde .	Eigenname	Eigenname	Eigenname
dumm	Hund	Ihr Boss ist " Cliff " ( Clifford ) , die beiden anderen Mitglieder sind der dumme Hund " Lube " ( Ignatius Lubowitsch ) und die Hündin " Shriek " .	Intelligenz	Tier	free
dumm	Idee	Die dumme Idee ist es , die Reichen , Konzerne und Banken an den Einnahmen des Staates zu beteiligen . "	Intelligenz	Kognition	free
dumm	Idiot	Das ist ein Fakt , der sich nicht dadurch ändern wird in bedeutungslosen Foren diese Menschen als dumme Idioten zu verunglimpfen .	Intelligenz	Mensch	free
dumm	Junge	Laut seiner Schwester Dorothy " war er keineswegs ein dummer Junge " , fand aber keinen Spaß am Lese- oder Schreibunterricht oder jedweder anderen Form des Lernens .	Intelligenz	Mensch	free
dumm	Jungenstreich	Auch die Schändungen jüdischer Friedhöfe gingen meist als " dumme Jungenstreiche " durch .	Intelligenz	Kommunikation	free
dumm	Kerl	So bringt der dumme Kerl zum Ausdruck , wie intakt das Verhältnis zwischen ihr und ihm sei , trotz seiner Abneigung gegen ihren Körper .	Intelligenz	Mensch	free
dumm	Klischee	Das ganze noch garniert mit ein paar dummen Klischees und dem üblichen " früher war alles besser " .	Intelligenz	Kognition	free
dumm	Kommentar	Wenn im Vatikan 80 Menschen sterben oder in Indien bei einer religiösen Stätte , kommen dann genau die gleichen dummen Kommentare ?	Intelligenz	Kommunikation	free
dumm	Leute	Ganz offensichtlich wurde der Text nicht von dummen Leuten verfasst , zumindest ist das sprachliche wie auch das inhaltliche Niveau weitaus höher als in den Kommentaren .	Intelligenz	Gruppe	free
dumm	Luder	Ich bin ein dummes Luder , wer sollte wohl an mir einmal Interesse haben ?  	Intelligenz	Mensch	free
dumm	Lüge	Als einige Tage später Mary bei einer dummen Lüge ertappt wird , täuscht sie einen Herzanfall vor .	Intelligenz	Kommunikation	free
dumm	Mädel	In den österreichischen Kinos wurde er unter dem Titel " Mein liebes dummes Mädel " gezeigt .	Eigenname	Eigenname	Eigenname
dumm	Parole	ein Rechter , der ins Ausland auswandert und dort alle Deppen um sich vereint und mit dummen Parolen politische Aufmerksamkeit bekommt .	Intelligenz	Kommunikation	free
dumm	Phrase	Mit ist schon klar was Islamismus ist , aber solche dummen Phrasen schüren nur Ängste und sind Nährboden für solche Entgleisungen	Intelligenz	Kommunikation	free
dumm	Pöbel	Nein , dann müssten wir ja einen normalen Job machen - wie der dumme Pöbel !	Intelligenz	Gruppe	free
dumm	Pole	Andere basierten auf älteren Witzen über " dumme Schweden " bzw. " dumme Polen " .	Intelligenz	Mensch	free
dumm	Räuber	Darin besteht der große Unterschied . " ( 190 ) Der Räuber wird mitunter als Rivale betrachtet , der dem Erzähler im Text die Show stiehlt : " Plötzlich steht wieder dieser dumme Räuber da , und ich verschwinde neben ihm . " ( 93 )	Intelligenz	Mensch	free
dumm	Redensart	Zugleich tritt sein " Hass gegen die dummen Redensarten und Illusionen , mit denen man das Volk schon bald wieder zu füttern begann " , deutlich hervor .	Intelligenz	Kommunikation	free
dumm	Religion	Eine dumme Religion mit einer andere zu vergleichen macht Pädophilie nicht richtig .	Bewertung	Kognition	collocation
dumm	Sache	Wir sind auch nicht das Problem , weil wir keine Karikaturen zeichnen , weil wir vielleicht einfallslos sind oder dumme Sachen sagen oder ausschlafen .	Bewertung	Tops	collocation
dumm	Satz	Ich habe mich ausschließlich auf Ihren dummen Satz " mir wird jedesmal schlecht wenn ich sehe wieviel einfluss die Kirche .... " bezogen .	Intelligenz	Kommunikation	free
dumm	Schaf	Nur das dumme Schaf versteht ihre Strategie nicht und gibt dem Fuchs einen Tipp , wie er es ganz leicht in den Stall schafft .	Intelligenz	Tier	free
dumm	Scherz	Er belästigte seine Angebetete mit Anträgen , Versprechungen , dummen Scherzen und Obszönitäten , die die behandelten Patienten deutlich mithören konnten .	Intelligenz	Kommunikation	free
dumm	Schuljunge	Dieser rücksichtslose Machtmensch und Minifürst aus Niederösterreich prügelt seine Parteiführung vor sich her wie dumme Schuljungen ( die sich das heutzutage nicht mehr gefallen ließen ) .	Intelligenz	Mensch	free
dumm	Spaß	Lassen wir das Yellow Submarine und solche dummen Späße , die nicht hierher gehören .	Intelligenz	Kommunikation	free
dumm	Spruch	Während der Sendung habe ich das nur als dummen Spruch abgetan , doch jetzt habe ich länger über deinen Kommentar nachgedacht .	Intelligenz	Kommunikation	free
dumm	Stolz	Trotzdem würden sie moralisch handeln und ein ethisches Leben führen , ohne die Arroganz und ohne den dummen Stolz , zu " wissen " , was ein Schöpfer will oder gar denkt , oder was dieser von uns verlangt - von der Ernährung über religiöse Riten bis hin zur Sexualmoral .	Bewertung	Kognition	collocation
dumm	Streich	Dieser jedoch vergeigt es und bespritzt sie bei einem dummen Streich mit Wasser , weshalb sie nicht mehr mit ihm reden will .	Intelligenz	Kommunikation	free
dumm	Teufel	Er wird hier überlistet wie der dumme Teufel in Märchen wie KHM 81 " Bruder Lustig " oder KHM 81a " Der Schmied und der Teufel " .	Intelligenz	Mensch	free
dumm	Tor	als es jeder dumme Tor glaubt ;	Intelligenz	Mensch	collocation
dumm	Versehen	Absicht aber war die Meldung falscher Daten über mehr als 20 Monate hinweg aber selbstverständlich nicht , sondern ein dummes Versehen eines Lehrlings : Der falsche Eindruck eines stetig wachsenden Stellenangebots sei dadurch entstanden , dass mit der Erfassung des Stellenangebots im Internet unwissentlich viele Stellen doppelt gezählt worden seien .	Bewertung	Kognition	collocation
dumm	Volk	Ein Politkiker braucht STimmen udn nicht gute Lösungen - und dass dumme Volk wählt was ihm eingetrichtert wird	Intelligenz	Gruppe	free
dumm	Vorurteil	Aber ich erwarte von jedem , dass mit dem Thema offen umgeht , und schutzbedürftigen Menschen fair begegnet , ohne reihenweise dumme Vorurteile zu verbreiten .	Intelligenz	Kognition	free
dumm	Wähler	Ob rot , schwarz , grün , blau , es geht um Einstecken und nicht um die dummen Wähler .	Intelligenz	Mensch	free
dumm	Weib	Seit dem Vordringen der höfisch-höflichen Bezeichnung " Dame " ( aus dem Französischen , zu " domina " , Hausherrin ' ) im Laufe des 19. Jahrhunderts , und dem Wandel der Adelsbezeichnung " Frau " zum Allgemeinwort , wird " Weib " oft abwertend ( pejorativ ) gebraucht ( " dummes Weib " , " Weiberkram " ) .	Intelligenz	Mensch	free
dumm	Witz	Du hast einen dummen Witz gemacht , vielleicht wirft dir jemand vor ein Vergewaltiger zu sein ?	Intelligenz	Kommunikation	free
dumm	Wort	Wenn sich " Kontrollamt " darüber beschwert , dass ein Fischlokal in P. sich nicht gegen die " Heurigenmafia " ( was für ein dummes Wort ) durchsetzen konnte , haben er und wohl auch die Betreiber absolut nichts kapiert .	Intelligenz	Kommunikation	free
dumm	Zeug	Seine kargen Dialoge mit dem " festen , schöngebauten und geradeausfahrenden Frauenfahrzeug " Lydia enthalten nur dummes Zeug .	Intelligenz	Artefakt	free
dumm	Zufall	Die Rücknahme der Exkommunikation des rassistischen Bischofs Williamson und die nachdrückliche Unterstützung der Pius-Bruderschaft waren kein dummer Zufall eines Unbedarften , wie oft vermutet , sondern offenkundig gezielte Strategie .	Bewertung	Geschehen	collocation
dunkel	Ahnung	Auffallend ähnlich aber sind sich die beiden Dichter in der dunklen Ahnung , dass der Tod nicht mehr fern ist .	Bewertung	Gefuehl	collocation
dunkel	Andeutung	Und Sie bleiben inhaltlich auch hübsch in der Defensive , ergehen sich nur in dunklen Andeutungen .	Intensität	Kommunikation	collocation
rund	Scheinwerfer	Neben den runden Scheinwerfern in rechteckigen Chromrahmen befanden sich an den Fahrzeugecken nun kombinierte Blink- und Begrenzungsleuchten .	Form	Artefakt	free
rund	Schild	Das Siegel Amerikanisch-Samoas , eines amerikanischen Außengebietes im südlichen Pazifischen Ozean , hat einen runden Schild und zeigt in Schwarz und Weiß samoanische Zeichen der Mythologie und Kultur .	Form	Artefakt	free
dunkel	Bedrohung	Die Entdeckung eines alten Buches oder einer anderen Antiquität beschwört das Unheil oder eine dunkle Bedrohung herauf .	Beiwort	Geschehen	collocation
rund	Sonnenbrille	Natürlich dürfen passender Schmuck und eine runde Sonnenbrille hier nicht fehlen .	Form	Artefakt	free
rund	Spiegel	Der Schamane hat auch zuweilen einen kleinen runden Spiegel auf seiner Brust , der Angriffe böser Geister durch Blendung abwehren soll .	Form	Artefakt	free
rund	Tafel	Zwischen 1926 und 1945 versuchte man es noch einmal mit eckigen und runden Tafeln , im Grunde genommen sehen die Schilder noch heute ähnlich aus wie 1923.	Form	Artefakt	free
rund	Tischchen	Eine entsprechende Einrichtung findet sich zum Beispiel seit Mitte der 2000er Jahre in der Damenabteilung eines Kaufhauses in Stuttgart , dort in Form einer Sitzgruppe aus vier Stühlen und einem runden Tischchen mit einigen Zeitschriften , gekennzeichnet mit einem großen Hinweisschild , das mit einem dem üblichen Parkplatzschild entlehnten " P " und dem Begriff " Männer-Parkplatz " beschriftet ist .	Form	Artefakt	free
dunkel	Ecke	Aus der dunklen Ecke sind die Möchtegern-Separatisten kinderleicht auszuschalten und ich habe meine erste Deus Ex-Lektion gelernt : Schleichen ist gesünder als Stürmen .	übertragen	übertragen	übertragen
dunkel	Epoche	Diese Epoche der Geschichte Galiciens und Portugals wird daher als " dunkle Epoche " bzw. " Período Obscuro " bezeichnet .	term	term	term
rund	Turm	Der runde Turm steht dabei auf einem rechteckigen Untergeschoss , das auch das Wohnhaus der Müllersfamilie war .	Form	Artefakt	free
dunkel	Erinnerung	.. und eine dunkle Erinnerung in Form von " da war doch mal was " .	Intensität	Kognition	collocation
leicht	Waffe	Eine größere Menge leichter Waffen , darunter auch Panzerabwehrraketen , sei über die Grenze von Jordanien an im Süden Syriens kämpfende Rebellen geliefert worden .	Art	Artefakt	collocation
scharf	Klinge	Bei der Rasur wird das Haar mit einer sehr scharfen Klinge ( Rasierklinge ) unmittelbar an seiner Austrittsstelle aus der Haut abgeschnitten .	Form	Artefakt	free
scharf	Messer	22 cm ) Boden nach oben auf die Teigplatte setzen und entlang des Randes mit einem scharfen Messer anritzen ( nicht durchschneiden ) .	Form	Artefakt	free
scharf	Schwert	Seine Mutter wird darin mit Maria verglichen , durch deren Herz , in Anlehnung an die biblische Formulierung , unter ihres Sohnes Kreuz ein scharfes Schwert drang .	Form	Artefakt	free
scharf	Waffe	Todesursache waren Schlagmarken am Hinterkopf , die eine scharfe Waffe geschlagen hatte - wahrscheinlich ein Schwert .	Form	Artefakt	free
schwarz	Anzug	Am häufigsten wurde das Video gezeigt , das die Band in schwarzen Anzügen beim Spielen des Liedes zeigt .	Farbe	Artefakt	free
schwarz	Balken	In Gold ein schwarzer Balken , später mit einer goldenen Weinrebe belegt ; auf dem Helm mit schwarz-goldenen Decken eine goldene und eine Schwarze Straußenfeder .	Farbe	Artefakt	free
dunkel	Geheimnis	 Der Andere  , erschienen 1936 , handelt von Lloyd Warring , einem Schriftsteller , der ein dunkles Geheimnis hat : er ist ein Raubmörder .	Bewertung	Kommunikation	collocation
dunkel	Geschäft	Der alternde Gaspare Aversi , der sein Geld mit dunklen Geschäften verdient hat , wird vom im Auftrag der Mafia handelnden Don Vito getötet .	Gewissheit	Besitz	collocation
schwarz	Brille	Auf veröffentlichten Fotos oder im Fernsehen ist CUS nur mit schwarzer Brille zu sehen , oder auch nur sein Schatten .	Farbe	Artefakt	free
schwarz	Fahne	Das Wappen der ehemaligen Gemeinde Unterschmeien zeigt in geteiltem Schild oben in Schwarz ein silberner Wellenbalken , unten in Silber eine dreilatzige schwarze Fahne .	Farbe	Artefakt	free
schwarz	Flagge	So hatte Kyrenaika eine schwarze Flagge mit Halbmond und Stern , ähnlich der heutigen türkischen Flagge .	Farbe	Artefakt	free
schwarz	Gewand	Die einheimischen katarischen Frauen sind mit einem schwarzen Gewand der  Burka  bedeckt .	Farbe	Artefakt	free
schwarz	Hemd	Seine Standardkleidung besteht aus einem schwarzen Hemd mit einer weißen Krawatte und einem langen Mantel .	Farbe	Artefakt	free
schwarz	Hose	Die deutsche Mannschaft trug weiße Trikots mit dem auf der Brust , dazu schwarze Hosen und schwarze Stutzen .	Farbe	Artefakt	free
schwarz	Hut	Dabei verkörperte er zumeist düstere und zwielichtige Figuren , wobei er regelmäßig schwarze Hüte trug .	Farbe	Artefakt	free
schwarz	Jacke	Karlchen Rattenkopf ( englischer Name : Charlie Rat ) ist eine kleine , aufrecht laufende Ratte in schwarzer Jacke und mit einer langen Nase .	Farbe	Artefakt	free
schwarz	Jeans	Er trägt ein weißes Hemd , schwarze Krawatte und schwarze Jeans , er ist Brillenträger und äußerst unattraktiv .	Farbe	Artefakt	free
schwarz	Kasten	Das Display liegt waagerecht auf einem schwarzen Kasten , in dem sich die Hardware befindet .	Farbe	Artefakt	free
schwarz	Kleid	Das Protokoll für päpstliche Audienzen sah traditionell vor , dass Frauen ein schwarzes Kleid mit langen Ärmeln und langem Rock und einen schwarzen Schleier zu tragen hatten .	Farbe	Artefakt	free
schwarz	Kleidung	Als " universelle Gemeinsamkeit " und " kleinsten gemeinsame Nenner " bezeichnet er " die schwarze Kleidung " .	Farbe	Artefakt	free
schwarz	Komödie	Der Roman ist eine schwarze Komödie und beschreibt Ereignisse im Leben eines britischen Konsulatsangestellten in dem ( fiktiven ) westafrikanischen Staat Kinjanja .	Art	Artefakt	collocation
schwarz	Kostüm	Er verkleidet sich mit dem gleichen schwarzen Kostüm , das Leopold Mozart bei seinem Besuch in Wien auf einem Maskenball getragen hat .	Farbe	Artefakt	free
schwarz	Lederjacke	Viele " Metal Heads " halten sich an den Judas-Priest-Look ( schwarze Lederjacke und Lederhosen , Ketten und eine Unmenge an Nieten ) .	Farbe	Artefakt	free
schwarz	Limousine	Das sind die meist schwarzen Limousinen mit einer Telefonnummer im Seitenfenster , die in direkte Konkurrenz mit den offiziellen Taxi Cabs treten .	Farbe	Artefakt	free
schwarz	Mantel	Den Hauptakzent des dreifarbigen Hundes setzt der schwarze Mantel über Rumpf , Hals , Kopf und Rute .	Farbe	Artefakt	free
schwarz	Maske	Er hat einen großen , massigen Kopf mit schwarzer Maske und hoch angesetzten kleinen , hängenden Ohren .	Farbe	Artefakt	free
schwarz	Musik	Neben ihren Qualitäten als Musiker ist an den Mar-Keys bemerkenswert , dass sie weiße Jungen waren , die schwarze Musik spielten .	Art	Artefakt	collocation
dunkel	Kanal	Die Geschäfte erbrachten nicht den von Armbrust erhofften Gewinn , sondern ließen das Geld vielmehr in dunklen Kanälen verschwinden .	Gewissheit	Artefakt	collocation
dunkel	Kapitel	Ein dunkles Kapitel in der Stadtgeschichte stellt während des Zweiten Weltkriegs die Deportation von 1221 Juden nach Auschwitz dar .	Emotion	Kommunikation	collocation
schwarz	Robe	Die Live-Auftritte waren als Ritual konzipiert : Vor Beginn wurde die Bühne in Weihrauch gehüllt und mit Kerzen versehen , die Band selber trat in schwarzen Roben auf .	Farbe	Artefakt	free
schwarz	Rock	Der Porträtierte trägt einen schwarzen Rock , dessen Farbe in den oberitalienischen Städten des 16. Jahrhunderts Angehörige der aristokratischen Schicht oder des gehobenen Bürgertums kennzeichnete .	Farbe	Artefakt	free
schwarz	Schuh	Diese werden gemeinsam mit hellblauem Hemd oder Bluse , dunkelblauer Krawatte , schwarzer Tuchhose oder Rock und schwarzen Schuhen getragen .	Farbe	Artefakt	free
schwarz	Sonnenbrille	Das Cover zeigte das von vorne fotografierte und digital bearbeitete Bild der Großen Sphinx von Gizeh , die eine schwarze Sonnenbrille ( engl. :	Farbe	Artefakt	free
dunkel	Kontinent	Vorstöße ins Innere Afrikas wurden nicht unternommen , Afrika blieb der  dunkle Kontinent  in den Köpfen der Europäer .	term	term	term
schwarz	Stein	Zu Beginn befinden sich die Steine der Spieler diagonal zueinander ( alle schwarzen Steine auf Feld 24 , alle weißen auf Feld 12 ) .	Farbe	Artefakt	free
schwarz	Stiefel	Er benutzt eine Phorbeia und trägt weiße , mit roten Zickzacklinien und Borten geschmückte Kleidung und schwarze Stiefel .	Farbe	Artefakt	free
schwarz	Tinte	Das Evangeliar wurde mit schwarzer Tinte geschrieben und wichtigere Anmerkungen sind mit geschmolzenem Gold hervorgehoben .	Farbe	Artefakt	free
schwarz	T-Shirt	Sie ist damit die drittjüngste Person , die jemals das schwarze T-Shirt tragen durfte .	Farbe	Artefakt	free
schwarz	Tuch	Deshalb wurde zu Beginn des Weltkrieges das Bildnis der Königin Margaretha von Italien , der nominellen Chefin des Bataillons , mit einem schwarzen Tuch verhängt .	Farbe	Artefakt	free
dunkel	Machenschaft	Case strandet jedoch erfolglos in Chiba und verdient sich seinen Unterhalt notdürftig mit diversen dunklen Machenschaften , u. a. als Auftragskiller .	Gewissheit	Geschehen	collocation
dunkel	Macht	Um seine Ziele zu erreichen Tannarak Bündnisse mit dunklen Mächten wie dem Chaos und der Hölle geschlossen , die ihn bei seinen Handlungen unterstützen .	Bewertung	Tops	collocation
schwarz	Umhang	Zu Auftritten fuhr die Band nach Überlieferung in Leichenwagen zu den Veranstaltungen und trug schwarze Umhänge .	Farbe	Artefakt	free
schwarz	Uniform	Während alle anderen Bataillone nun eine blaue Uniform im preußischen Stil erhielten , behielt das Leibbataillon seine historische schwarze Uniform .	Farbe	Artefakt	free
schwarz	Vorhang	Zur besseren Wirkung und zur Erinnerung an die Finsternis bei der Kreuzigung Jesu sind , solange das Heilige Grab aufgebaut ist , die Kirchenfenster mit schwarzen Vorhängen verdunkelt .	Farbe	Artefakt	free
steil	Abstieg	Nach der Querung folgt ein steiler Aufstieg in den Waldbereich , über den man in den teilweise sehr steilen Abstieg über einen felsigen Hang gelangt .	Dimension	Artefakt	free
steil	Bergstraße	Hier gibt es weder Tunnel noch steile Bergstraßen , und so eignet sich Sandoy gut zum Radfahren .	Dimension	Artefakt	free
steil	Dach	Ihre steilen Dächer und Gewölbe weisen sie aber als periphere Vertreter der europäischen Gotik aus .	Dimension	Artefakt	free
steil	Gasse	Der Innenstadtbereich ist geprägt von engen und oft steilen Gassen mit Kopfsteinpflaster und Schlaglöchern .	Dimension	Artefakt	free
dunkel	Ritter	Goyer und Chris Terrio , welches zum Teil von der Graphic Novel " Batman - Die Rückkehr des Dunklen Ritters " inspiriert wurde .	Eigenname	Eigenname	Eigenname
steil	Giebel	Von der Außenseite hat der Eingang eine Spitzbogenform , die mit einem steilen Giebel endet .	Dimension	Artefakt	free
steil	Heckklappe	Vor allem die Kombis behielten bis in die jüngste Zeit die steile Heckklappe für mehr Laderaumvolumen .	Dimension	Artefakt	free
steil	Holztreppe	Man erreichte ihn entweder durch schmale und steile Holztreppen , oder durch steinerne Wendeltreppen , sogenannte " Schnecken " .	Dimension	Artefakt	free
steil	Kurve	Unter anderem wurden mangelnde Stabilität um die Querachse , unausgewogene Ruderkräfte und Abkippen in steilen Kurven festgestellt .	Dimension	Artefakt	free
steil	Pfad	In 120 m Höhe befindet sich ein Parkplatz , von dem aus ein unmarkierter , ziemlich steiler Pfad zum Gipfel führt .	Dimension	Artefakt	free
dunkel	Seite	Pulver führt in diesem Werk seelische Tiefenbohrungen aus , und wie Freud stösst er auf die dunkle Seite der menschlichen Existenz .	Bewertung	Form	collocation
steil	Piste	Zu der Halbinsel gelangt man über die Straße 218. Die Auffahrt auf das Plateau ist über eine unbefestigte , teilweise sehr unwegsame und steile Piste möglich .	Dimension	Artefakt	free
steil	Rampe	Zum Palast führte eine steile Rampe empor , die größtenteils erhalten ist und wegen der Steigung von ungefähr 20 Prozent nur zu Fuß begangen werden konnte .	Dimension	Artefakt	free
steil	Rinne	Von der Abzweigung quert dann der Weg unter dem Gipfelaufbau die Südflanke und führt in eine sehr bröselige und steile Rinne .	Dimension	Artefakt	free
steil	Rolltreppe	Mit einer relativ steilen Rolltreppe gelangt man ins Museum .	Dimension	Artefakt	free
steil	Satteldach	Die Hälfte der Südwand und der Westgiebel mit der Eingangstür sind verschwunden , der Ostteil ist mit einem steilen Satteldach aus Steinplatten gedeckt .	Dimension	Artefakt	free
dunkel	Stunde	Sein reges Interesse an Theologie und Religion sollte dem Grafen die dunkelsten Stunden seines Lebens bescheren , verursacht durch Zensur , Unterdrückung und rigorose Gewaltanwendung .	Emotion	Zeit	collocation
steil	Serpentine	Der Weg läuft nun nahe am Wasserfall entlang und windet sich in engen und steilen Serpentinen hoch .	Dimension	Artefakt	free
steil	Steintreppe	Die letzten 200 Meter werden über eine steile Steintreppe mit ca . 1.200 Stufen überwunden , bis man im letzten Camp in der Indigenenstadt ankommt .	Dimension	Artefakt	free
steil	Stiege	Kleinteiliger Grundriss , niedrige Raumhöhen mit Kölner Decken ( niederrheinische Lehmputzdecken ) und eine sehr steile Stiege in das Obergeschoss prägen das Gebäude .	Dimension	Artefakt	free
steil	Straße	Die zunächst holprige und mit 14 % auch eher steile Straße ersetzte die ältere Verbindungsstrecke über Kastelruth . 1914 war die Straße endgültig fertiggestellt .	Dimension	Artefakt	free
steil	Stufe	Für diesen Abschnitt sollte man gute Kondition mitbringen , es gibt viele steile Stufen zu besteigen .	Dimension	Artefakt	free
dunkel	Vergangenheit	2010 bis 2011 wurden die Fassaden saniert und es entstand eine unterschiedliche Farbgebung der Gebäude , die den Forumscharakter und damit die dunkle Vergangenheit des Denkmals aufbrechen soll .	Emotion	Zeit	collocation
steil	Treppe	Zu den oberen Räumen führen steile Treppen , die an den Seiten der Apsis beginnen .	Dimension	Artefakt	free
dunkel	Vorahnung	Hutters junge Frau Ellen reagiert voll Sorge und mit dunklen Vorahnungen auf die Reisepläne ihres Mannes .	Bewertung	Gefuehl	collocation
steil	Tribüne	So befinden sich beispielsweise die steilen Tribünen so nah wie nach den geltenden UEFA-Regularien nur irgendmöglich am Spielfeld .	Dimension	Artefakt	free
steil	Waldweg	Eine Straße führt bis zu einem geschotterten und teilweise befestigten Parkplatz , von dem aus man in etwa 20 Minuten auf einem steilen Waldweg den Wasserfall erreicht .	Dimension	Artefakt	free
steil	Weg	Auch enge oder steile Wege durch eine Klamm oder zu anderen touristischen Sehenswürdigkeiten wie frühere Bergwerke , Naturlehrpfade , Wasserfälle usw. werden als " Steige " bezeichnet .	Dimension	Artefakt	free
steil	Wendeltreppe	Der Aufstieg erfolgt über eine steile Wendeltreppe , die bis ganz nach oben führt .	Dimension	Artefakt	free
süß	Zeug	[ ... ] Türkischer Honig ist ein süßes Zeug - zu viel sollte man davon nicht genießen .	Geschmack	Artefakt	free
tief	Baß	Sie wird in der Regel mit einem separaten Subwoofer vertrieben , da aufgrund der Form der Soundbar nicht genug Volumen für tiefe Bässe vorhanden wäre .	Ton	Artefakt	collocation
dunkel	Zeit	Mit einem Steinrelief wird der 72 auf dem Waldbachfriedhof beigesetzten  Opfer der Gewaltherrschaft in dunkler Zeit  , ermordet in der Zeit des Dritten Reiches , gedacht .	Emotion	Zeit	collocation
dunkel	Zeitalter	A1689-zD1 entstand nur etwa 700 Millionen Jahre nach dem Urknall im so genannten " Dunklen Zeitalter " des Kosmos .	term	term	term
tief	Lage	Die Saiten haben ähnliche Abstände wie bei der E-Gitarre und erlauben das Zupfen zumindest in tiefen Lagen bzw. auf den unteren drei Basssaiten .	Ton	Artefakt	collocation
knapp	Begründung	Die Fragen waren normalerweise begrenzt auf ein oder mehrere spezifische Fälle , während die Response dann eine allgemeine Regel und eine knappe Begründung gab .	Beschreibung	Kommunikation	collocation
rau	Behandlung	In manchen Fällen wird der Schutzleiter aber auch nach dem ordnungsgemäßen Einbau der Steckdose durch Verschleiß , raue Behandlung oder laienhafte Reparaturarbeiten beschädigt .	Art&Weise	Geschehen	collocation
